id,date,name,category,value,Дохід_₴,Чист.приб._₴,К-ть_прац.,Comment
169,2024-12-31,Логістик юніон,Transport,8417,8416619000,3060118000,4854,
170,2023-12-31,Логістик юніон,Transport,6515,6515421000,2134187000,4432,
171,2022-12-31,Логістик юніон,Transport,5427,5427351000,2623968000,5384,
172,2021-12-31,Логістик юніон,Transport,5076,5075628000,2174752000,5620,
173,2020-12-31,Логістик юніон,Transport,4208,4207853000,1721338000,—,
174,2024-12-31,Вінницька птахофабрика,Agriculture,49696,49696148000,4018715000,5974,
175,2023-12-31,Вінницька птахофабрика,Agriculture,39247,39246576000,618795000,6289,
176,2022-12-31,Вінницька птахофабрика,Agriculture,30403,30402655000,1187419000,5724,
177,2021-12-31,Вінницька птахофабрика,Agriculture,19351,19351366000,2076771000,5654,
178,2020-12-31,Вінницька птахофабрика,Agriculture,13502,13501959000,-1955177000,—,
179,2024-12-31,СФГ Круіз,Agriculture,31,30646000,6611000,14,
180,2023-12-31,СФГ Круіз,Agriculture,22,21529300,3274300,9,
181,2022-12-31,СФГ Круіз,Agriculture,23407,23407156000,6003756000,16,
182,2021-12-31,СФГ Круіз,Agriculture,17,16717000,5010700,14,
183,2020-12-31,СФГ Круіз,Agriculture,#VALUE!,—,—,—,
184,2024-12-31,Миронівська птахофабрика,Agriculture,24972,24972185000,1517864000,2911,
185,2023-12-31,Миронівська птахофабрика,Agriculture,21430,21429898000,1343926000,3209,
186,2022-12-31,Миронівська птахофабрика,Agriculture,13986,13985851000,-1470688000,3125,
187,2021-12-31,Миронівська птахофабрика,Agriculture,11099,11098996000,1014744000,"2942	",
188,2020-12-31,Миронівська птахофабрика,Agriculture,10209,10208850000,-1808353000,—,
189,2024-12-31,Лебединський насіннєвий завод,Agriculture,18703,18702815000,143060000,1004,
190,2023-12-31,Лебединський насіннєвий завод,Agriculture,15680,15679990000,3344000,970,
191,2022-12-31,Лебединський насіннєвий завод,Agriculture,13410,13410154000,-186905000,921,
192,2021-12-31,Лебединський насіннєвий завод,Agriculture,13733,13733477000,39871000,702,
193,2020-12-31,Лебединський насіннєвий завод,Agriculture,10312,10311543000,24596000,—,
194,2024-12-31,СФГ Дружинка,Agriculture,13,12752400,1593800,10,
195,2023-12-31,СФГ Дружинка,Agriculture,11,10852800,1456800,10,
196,2022-12-31,СФГ Дружинка,Agriculture,10,10245000,417200,10,
197,2021-12-31,СФГ Дружинка,Agriculture,16,15627600,4691700,12,
198,2020-12-31,СФГ Дружинка,Agriculture,0,,,,
